Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
1,18,0,0.009224457,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0,0,0,0,0,3
2,22,0,0.018448914,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
3,25,0,0.02767337,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
4,29,0,0.036897827,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
5,33,0,0.046122284,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
6,36,0,0.055346741,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
7,40,0,0.064571197,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
8,44,0,0.073795654,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
9,47,0,0.083020111,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
10,51,0,0.092244567,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
11,55,0,0.101469024,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
12,58,0,0.110693481,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
13,63,0,0.119917938,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
14,66,0,0.129142394,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
15,70,0,0.138366851,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
16,73,0,0.147591308,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
17,77,0,0.156815765,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
18,80,0,0.166040221,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
19,83,0,0.175264678,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
20,86,0,0.184489135,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
21,90,0,0.193713592,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
22,93,0,0.202938048,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
23,96,0,0.212162505,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
24,99,0,0.221386962,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
25,103,0,0.230611419,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
26,106,0,0.239835875,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
27,109,0,0.249060332,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
28,112,0,0.258284789,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
29,115,0,0.267509246,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
30,119,0,0.276733702,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
31,123,0,0.285958159,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
32,126,0,0.295182616,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
33,129,0,0.304407073,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
34,133,0,0.313631529,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
35,136,0,0.322855986,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
36,139,0,0.332080443,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
37,142,0,0.341304899,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
38,146,0,0.350529356,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
39,149,0,0.359753813,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
40,152,0,0.36897827,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
41,156,0,0.378202726,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
42,159,0,0.387427183,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
43,162,0,0.39665164,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
44,166,0,0.405876097,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
45,169,0,0.415100553,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
46,172,0,0.42432501,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
47,176,0,0.433549467,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
48,179,0,0.442773924,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
49,183,0,0.45199838,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
50,186,0,0.461222837,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
51,189,0,0.470447294,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
52,193,0,0.479671751,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
53,196,0,0.488896207,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
54,199,0,0.498120664,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
55,203,0,0.507345121,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
56,206,0,0.516569578,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
57,210,0,0.525794034,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
58,213,0,0.535018491,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
59,216,0,0.544242948,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
60,220,0,0.553467405,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
61,223,0,0.562691861,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
62,227,0,0.571916318,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
63,230,0,0.581140775,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
64,234,0,0.590365232,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
65,237,0,0.599589688,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
66,241,0,0.608814145,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
67,245,0,0.618038602,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
68,248,0,0.627263059,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
69,252,0,0.636487515,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
70,255,0,0.645711972,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
71,258,0,0.654936429,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
72,262,0,0.664160886,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
73,265,0,0.673385342,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
74,269,0,0.682609799,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
75,273,0,0.691834256,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
76,277,0,0.701058712,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
77,281,0,0.710283169,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
78,285,0,0.719507626,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
79,289,0,0.728732083,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
80,292,0,0.737956539,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
81,296,0,0.747180996,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
82,299,0,0.756405453,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
83,303,0,0.76562991,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
84,307,0,0.774854366,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
85,311,0,0.784078823,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
86,314,0,0.79330328,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
87,318,0,0.802527737,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
88,321,0,0.811752193,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
