Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
1,18,0,0.009224457,0.228487346,0.228487346,0.228487346,0.228487346,0,0,0,0,0,0,3
2,22,0,0.018448914,0.228765599,0.228626472,0.228487346,0.228765599,0.000139127,0,0,0,0,0,3
3,25,0,0.02767337,0.228707205,0.228653383,0.228487346,0.228765599,0.000166038,0,0,0,0,0,3
4,29,0,0.036897827,0.228684264,0.228661103,0.228487346,0.228765599,0.000173758,0,0,0,0,0,3
5,33,0,0.046122284,0.228680129,0.228664908,0.228487346,0.228765599,0.000177563,0,0,0,0,0,3
6,36,0,0.055346741,0.228691615,0.22866936,0.228487346,0.228765599,0.000182014,0,0,0,0,0,3
7,40,0,0.064571197,0.228689814,0.228672282,0.228487346,0.228765599,0.000184936,0,0,0,0,0,3
8,44,0,0.073795654,0.228685011,0.228673873,0.228487346,0.228765599,0.000186527,0,0,0,0,0,3
9,47,0,0.083020111,0.228674356,0.228673927,0.228487346,0.228765599,0.000186581,0,0,0,0,0,3
10,51,0,0.092244567,0.228670765,0.22867361,0.228487346,0.228765599,0.000186581,0,0,0,0,0,3
11,55,0,0.101469024,0.228675605,0.228673792,0.228487346,0.228765599,0.000186581,0,0,0,0,0,3
12,58,0,0.110693481,0.228681923,0.228674469,0.228487346,0.228765599,0.000187124,0,0,0,0,0,3
13,63,0,0.119917938,0.228692893,0.228675887,0.228487346,0.228765599,0.000188541,0,0,0,0,0,3
14,66,0,0.129142394,0.228696508,0.22867736,0.228487346,0.228765599,0.000190014,0,0,0,0,0,3
15,70,0,0.138366851,0.228700835,0.228678925,0.228487346,0.228765599,0.000191579,0,0,0,0,0,3
16,73,0,0.147591308,0.228699937,0.228680238,0.228487346,0.228765599,0.000192892,0,0,0,0,0,3
17,77,0,0.156815765,0.228698381,0.228681305,0.228487346,0.228765599,0.00019396,0,0,0,0,0,3
18,80,0,0.166040221,0.228700502,0.228682372,0.228487346,0.228765599,0.000195026,0,0,0,0,0,3
19,83,0,0.175264678,0.228701005,0.228683352,0.228487346,0.228765599,0.000196007,0,0,0,0,0,3
20,86,0,0.184489135,0.228702418,0.228684306,0.228487346,0.228765599,0.00019696,0,0,0,0,0,3
21,90,0,0.193713592,0.228702043,0.22868515,0.228487346,0.228765599,0.000197805,0,0,0,0,0,3
22,93,0,0.202938048,0.228701703,0.228685903,0.228487346,0.228765599,0.000198557,0,0,0,0,0,3
23,96,0,0.212162505,0.228700892,0.228686554,0.228487346,0.228765599,0.000199209,0,0,0,0,0,3
24,99,0,0.221386962,0.228700432,0.228687133,0.228487346,0.228765599,0.000199787,0,0,0,0,0,3
25,103,0,0.230611419,0.22869654,0.228687509,0.228487346,0.228765599,0.000200163,0,0,0,0,0,3
26,106,0,0.239835875,0.228701137,0.228688033,0.228487346,0.228765599,0.000200687,0,0,0,0,0,3
27,109,0,0.249060332,0.228704688,0.22868865,0.228487346,0.228765599,0.000201304,0,0,0,0,0,3
28,112,0,0.258284789,0.228707262,0.228689315,0.228487346,0.228765599,0.000201969,0,0,0,0,0,3
29,115,0,0.267509246,0.228705347,0.228689867,0.228487346,0.228765599,0.000202522,0,0,0,0,0,3
30,119,0,0.276733702,0.228709709,0.228690529,0.228487346,0.228765599,0.000203183,0,0,0,0,0,3
31,123,0,0.285958159,0.22872001,0.22869148,0.228487346,0.228765599,0.000204134,0,0,0,0,0,3
32,126,0,0.295182616,0.228706556,0.228691951,0.228487346,0.228765599,0.000204605,0,0,0,0,0,3
33,129,0,0.304407073,0.228728084,0.228693046,0.228487346,0.228765599,0.0002057,0,0,0,0,0,3
34,133,0,0.313631529,0.228717415,0.228693763,0.228487346,0.228765599,0.000206417,0,0,0,0,0,3
35,136,0,0.322855986,0.228731381,0.228694837,0.228487346,0.228765599,0.000207492,0,0,0,0,0,3
36,139,0,0.332080443,0.228734835,0.228695948,0.228487346,0.228765599,0.000208603,0,0,0,0,0,3
37,142,0,0.341304899,0.228740736,0.228697159,0.228487346,0.228765599,0.000209813,0,0,0,0,0,3
38,146,0,0.350529356,0.228733634,0.228698119,0.228487346,0.228765599,0.000210773,0,0,0,0,0,3
39,149,0,0.359753813,0.22874076,0.228699212,0.228487346,0.228765599,0.000211867,0,0,0,0,0,3
40,152,0,0.36897827,0.228740106,0.228700235,0.228487346,0.228765599,0.000212889,0,0,0,0,0,3
41,156,0,0.378202726,0.22874045,0.228701215,0.228487346,0.228765599,0.00021387,0,0,0,0,0,3
42,159,0,0.387427183,0.228735591,0.228702034,0.228487346,0.228765599,0.000214688,0,0,0,0,0,3
43,162,0,0.39665164,0.228730277,0.228702691,0.228487346,0.228765599,0.000215345,0,0,0,0,0,3
44,166,0,0.405876097,0.228735365,0.228703433,0.228487346,0.228765599,0.000216088,0,0,0,0,0,3
45,169,0,0.415100553,0.228756549,0.228704614,0.228487346,0.228765599,0.000217268,0,0,0,0,0,3
46,172,0,0.42432501,0.228757215,0.228705757,0.228487346,0.228765599,0.000218412,0,0,0,0,0,3
47,176,0,0.433549467,0.228749686,0.228706692,0.228487346,0.228765599,0.000219346,0,0,0,0,0,3
48,179,0,0.442773924,0.22875926,0.228707787,0.228487346,0.228765599,0.000220441,0,0,0,0,0,3
49,183,0,0.45199838,0.228742591,0.228708497,0.228487346,0.228765599,0.000221152,0,0,0,0,0,3
50,186,0,0.461222837,0.228764533,0.228709618,0.228487346,0.228765599,0.000222272,0,0,0,0,0,3
51,189,0,0.470447294,0.228766261,0.228710729,0.228487346,0.228766261,0.000223383,0,0,0,0,0,3
52,193,0,0.479671751,0.228767293,0.228711816,0.228487346,0.228767293,0.000224471,0,0,0,0,0,3
53,196,0,0.488896207,0.228769086,0.228712897,0.228487346,0.228769086,0.000225551,0,0,0,0,0,3
54,199,0,0.498120664,0.228771279,0.228713978,0.228487346,0.228771279,0.000226633,0,0,0,0,0,3
55,203,0,0.507345121,0.228770569,0.228715007,0.228487346,0.228771279,0.000227661,0,0,0,0,0,3
56,206,0,0.516569578,0.22876912,0.22872013,0.228670765,0.228771279,9.36579E-05,0,0,0,0,0,3
57,210,0,0.525794034,0.228767043,0.228720156,0.228670765,0.228771279,6.67731E-05,0,0,0,0,0,3
58,213,0,0.535018491,0.228767027,0.228721244,0.228670765,0.228771279,6.01406E-05,0,0,0,0,0,3
